Entity,Code,Number of trees
Tunisia,TUN,151323136
Turkey,TUR,8698405888
Turkmenistan,TKM,7218816
Turks and Caicos Islands,TCA,3895086
Tuvalu,TUV,38189.2
Uganda,UGA,2464824576
Ukraine,UKR,7023662592
United Arab Emirates,ARE,19529.21875
United Kingdom,GBR,3004205568
United States,USA,228000000000
United States Virgin Islands,VIR,4659548
Uruguay,URY,543400768
Uzbekistan,UZB,114452776
Vanuatu,VUT,572365824
Venezuela,VEN,36278259712
Vietnam,VNM,9353365504
Wallis and Futuna,WLF,1646280
Western Sahara,ESH,18573.01172
World,OWID_WRL,3040000000000
World (mean),,3040000000000
World (median),,536104112
Yemen,YEM,15551580
Zambia,ZMB,27612139520
Zimbabwe,ZWE,5652261376
